policy_id,checkpoint_path,objective_0,objective_1,objective_2,objective_3
0,outputs/mo-reacher-v5/seed_0/checkpoints/pareto_front/policy_000.pt,37.89884567260742,-11.101573944091797,13.621719360351562,-0.4948604106903076
1,outputs/mo-reacher-v5/seed_0/checkpoints/pareto_front/policy_001.pt,15.293763160705566,20.884363174438477,12.531723022460938,28.647232055664062
2,outputs/mo-reacher-v5/seed_0/checkpoints/pareto_front/policy_002.pt,23.80717658996582,0.030459696426987648,33.16897964477539,-3.8486568927764893
3,outputs/mo-reacher-v5/seed_0/checkpoints/pareto_front/policy_003.pt,14.64892578125,20.499074935913086,33.10002517700195,7.061567783355713
4,outputs/mo-reacher-v5/seed_0/checkpoints/pareto_front/policy_004.pt,10.726323127746582,29.517030715942383,21.687515258789062,14.915771484375
5,outputs/mo-reacher-v5/seed_0/checkpoints/pareto_front/policy_005.pt,16.66245460510254,10.268272399902344,42.65047836303711,-1.4547839164733887
6,outputs/mo-reacher-v5/seed_0/checkpoints/pareto_front/policy_006.pt,27.911577224731445,11.43669605255127,15.101628303527832,23.698945999145508
7,outputs/mo-reacher-v5/seed_0/checkpoints/pareto_front/policy_007.pt,17.5444278717041,22.18633460998535,25.506032943725586,16.38068962097168
8,outputs/mo-reacher-v5/seed_0/checkpoints/pareto_front/policy_008.pt,30.822967529296875,11.1211576461792,20.270639419555664,18.76226806640625
9,outputs/mo-reacher-v5/seed_0/checkpoints/pareto_front/policy_009.pt,19.6492919921875,5.237007141113281,39.52784729003906,-3.0669448375701904
10,outputs/mo-reacher-v5/seed_0/checkpoints/pareto_front/policy_010.pt,22.491052627563477,19.5006160736084,23.236379623413086,19.486562728881836
11,outputs/mo-reacher-v5/seed_0/checkpoints/pareto_front/policy_011.pt,16.22265625,15.05363941192627,36.69306945800781,4.006638050079346
12,outputs/mo-reacher-v5/seed_0/checkpoints/pareto_front/policy_012.pt,20.70093536376953,21.204072952270508,25.939096450805664,16.735307693481445
13,outputs/mo-reacher-v5/seed_0/checkpoints/pareto_front/policy_013.pt,23.031763076782227,19.33169937133789,22.559362411499023,19.625425338745117
14,outputs/mo-reacher-v5/seed_0/checkpoints/pareto_front/policy_014.pt,22.69536781311035,17.253662109375,17.927936553955078,23.361860275268555
15,outputs/mo-reacher-v5/seed_0/checkpoints/pareto_front/policy_015.pt,24.183021545410156,17.943674087524414,21.55043601989746,19.304847717285156
16,outputs/mo-reacher-v5/seed_0/checkpoints/pareto_front/policy_016.pt,14.39987564086914,16.5067081451416,38.8740234375,1.852920413017273
17,outputs/mo-reacher-v5/seed_0/checkpoints/pareto_front/policy_017.pt,21.5904541015625,20.383142471313477,23.37737464904785,19.3635311126709
18,outputs/mo-reacher-v5/seed_0/checkpoints/pareto_front/policy_018.pt,32.15751266479492,-7.355996608734131,21.542749404907227,-2.891352653503418
19,outputs/mo-reacher-v5/seed_0/checkpoints/pareto_front/policy_019.pt,6.317022800445557,30.001083374023438,14.448322296142578,17.873525619506836
20,outputs/mo-reacher-v5/seed_0/checkpoints/pareto_front/policy_020.pt,22.65796661376953,19.336687088012695,23.625282287597656,18.92317008972168
21,outputs/mo-reacher-v5/seed_0/checkpoints/pareto_front/policy_021.pt,16.757413864135742,24.271242141723633,24.52733039855957,17.346487045288086
22,outputs/mo-reacher-v5/seed_0/checkpoints/pareto_front/policy_022.pt,30.94554901123047,9.620521545410156,25.183197021484375,12.117100715637207
23,outputs/mo-reacher-v5/seed_0/checkpoints/pareto_front/policy_023.pt,21.10321807861328,3.248009443283081,37.28301239013672,-3.473925828933716
24,outputs/mo-reacher-v5/seed_0/checkpoints/pareto_front/policy_024.pt,14.901707649230957,24.978769302368164,27.36646842956543,13.776305198669434
25,outputs/mo-reacher-v5/seed_0/checkpoints/pareto_front/policy_025.pt,4.54448938369751,32.15464401245117,16.400697708129883,13.37376880645752
26,outputs/mo-reacher-v5/seed_0/checkpoints/pareto_front/policy_026.pt,15.247390747070312,24.593643188476562,27.04551124572754,14.20261001586914
27,outputs/mo-reacher-v5/seed_0/checkpoints/pareto_front/policy_027.pt,33.01842498779297,-7.953146457672119,20.414762496948242,-2.636885404586792
28,outputs/mo-reacher-v5/seed_0/checkpoints/pareto_front/policy_028.pt,21.487272262573242,19.93004608154297,24.868078231811523,17.861421585083008
29,outputs/mo-reacher-v5/seed_0/checkpoints/pareto_front/policy_029.pt,22.83845329284668,18.845420837402344,26.759653091430664,15.918530464172363
30,outputs/mo-reacher-v5/seed_0/checkpoints/pareto_front/policy_030.pt,21.18902015686035,17.896726608276367,29.77722930908203,12.037284851074219
31,outputs/mo-reacher-v5/seed_0/checkpoints/pareto_front/policy_031.pt,16.01246452331543,25.56252098083496,23.4429988861084,18.187864303588867
32,outputs/mo-reacher-v5/seed_0/checkpoints/pareto_front/policy_032.pt,27.45424461364746,-3.5740678310394287,27.914247512817383,-3.7639095783233643
33,outputs/mo-reacher-v5/seed_0/checkpoints/pareto_front/policy_033.pt,25.3958740234375,11.427462577819824,18.73651695251465,16.413278579711914
34,outputs/mo-reacher-v5/seed_0/checkpoints/pareto_front/policy_034.pt,10.742247581481934,27.76857566833496,16.40412712097168,21.344823837280273
35,outputs/mo-reacher-v5/seed_0/checkpoints/pareto_front/policy_035.pt,23.560653686523438,13.183541297912598,29.32219123840332,10.22784423828125
36,outputs/mo-reacher-v5/seed_0/checkpoints/pareto_front/policy_036.pt,5.125594139099121,34.66097640991211,21.98744773864746,10.960713386535645
37,outputs/mo-reacher-v5/seed_0/checkpoints/pareto_front/policy_037.pt,21.286392211914062,20.009878158569336,20.51905632019043,21.997854232788086
38,outputs/mo-reacher-v5/seed_0/checkpoints/pareto_front/policy_038.pt,12.871673583984375,20.136388778686523,37.73740005493164,3.6129255294799805
39,outputs/mo-reacher-v5/seed_0/checkpoints/pareto_front/policy_039.pt,18.779932022094727,6.542948246002197,40.798797607421875,-2.72976016998291
40,outputs/mo-reacher-v5/seed_0/checkpoints/pareto_front/policy_040.pt,29.34587287902832,-3.9240081310272217,26.379379272460938,-2.692087173461914
41,outputs/mo-reacher-v5/seed_0/checkpoints/pareto_front/policy_041.pt,12.42642879486084,23.176725387573242,34.47109603881836,6.085981369018555
42,outputs/mo-reacher-v5/seed_0/checkpoints/pareto_front/policy_042.pt,15.755629539489746,11.897160530090332,43.392059326171875,-0.8955919146537781
43,outputs/mo-reacher-v5/seed_0/checkpoints/pareto_front/policy_043.pt,39.52220153808594,-12.889812469482422,8.25230884552002,2.1495370864868164
44,outputs/mo-reacher-v5/seed_0/checkpoints/pareto_front/policy_044.pt,20.01495933532715,19.26789093017578,29.89619255065918,12.660508155822754
45,outputs/mo-reacher-v5/seed_0/checkpoints/pareto_front/policy_045.pt,25.91834259033203,-2.4851601123809814,29.817827224731445,-4.104528427124023
46,outputs/mo-reacher-v5/seed_0/checkpoints/pareto_front/policy_046.pt,18.94516372680664,23.136337280273438,24.133214950561523,18.499420166015625
47,outputs/mo-reacher-v5/seed_0/checkpoints/pareto_front/policy_047.pt,5.13124418258667,-1.9713290929794312,-14.999884605407715,29.658830642700195
48,outputs/mo-reacher-v5/seed_0/checkpoints/pareto_front/policy_048.pt,34.15681838989258,-8.735894203186035,18.89727020263672,-2.2687368392944336
49,outputs/mo-reacher-v5/seed_0/checkpoints/pareto_front/policy_049.pt,22.861129760742188,1.1007297039031982,34.59617614746094,-3.762355089187622
50,outputs/mo-reacher-v5/seed_0/checkpoints/pareto_front/policy_050.pt,34.57353591918945,-9.025009155273438,18.341615676879883,-2.137158155441284
51,outputs/mo-reacher-v5/seed_0/checkpoints/pareto_front/policy_051.pt,14.175015449523926,21.667640686035156,16.626636505126953,24.15622901916504
52,outputs/mo-reacher-v5/seed_0/checkpoints/pareto_front/policy_052.pt,14.366256713867188,27.517335891723633,20.55322265625,19.600603103637695
53,outputs/mo-reacher-v5/seed_0/checkpoints/pareto_front/policy_053.pt,34.827308654785156,-13.666092872619629,2.079535722732544,6.877912998199463
54,outputs/mo-reacher-v5/seed_0/checkpoints/pareto_front/policy_054.pt,10.56284236907959,27.340932846069336,27.860397338867188,10.07691478729248
55,outputs/mo-reacher-v5/seed_0/checkpoints/pareto_front/policy_055.pt,17.45854949951172,8.776989936828613,42.3643684387207,-2.0167806148529053
56,outputs/mo-reacher-v5/seed_0/checkpoints/pareto_front/policy_056.pt,20.290132522583008,21.27347183227539,23.418222427368164,18.795564651489258
57,outputs/mo-reacher-v5/seed_0/checkpoints/pareto_front/policy_057.pt,14.228650093078613,24.284971237182617,29.619592666625977,11.439122200012207
58,outputs/mo-reacher-v5/seed_0/checkpoints/pareto_front/policy_058.pt,14.0260591506958,19.726587295532227,35.270748138427734,4.685122013092041
59,outputs/mo-reacher-v5/seed_0/checkpoints/pareto_front/policy_059.pt,34.81686782836914,-14.738109588623047,-1.5290566682815552,8.828495979309082
60,outputs/mo-reacher-v5/seed_0/checkpoints/pareto_front/policy_060.pt,23.051109313964844,17.913963317871094,23.359527587890625,18.179983139038086
61,outputs/mo-reacher-v5/seed_0/checkpoints/pareto_front/policy_061.pt,38.50728988647461,-11.53792667388916,12.5198335647583,-0.048577841371297836
62,outputs/mo-reacher-v5/seed_0/checkpoints/pareto_front/policy_062.pt,26.557525634765625,-2.783245801925659,29.155988693237305,-3.8623034954071045
63,outputs/mo-reacher-v5/seed_0/checkpoints/pareto_front/policy_063.pt,-0.7300631403923035,3.423628568649292,-15.395255088806152,29.910415649414062
